[0427/185331:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0427/185542:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0427/185625:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0427/192239:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0427/201129:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0428/204523:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0429/132528:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0429/132712:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0429/133008:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0429/133132:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0505/210026:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0505/212635:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0505/213715:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/124821:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/125805:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/132521:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/132827:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/132953:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/135625:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/154852:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/163734:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/171849:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/182054:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/182344:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/182749:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/183034:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/183701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/184408:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/184638:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/185137:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/185158:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/185229:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/200420:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/200704:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/200957:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/203123:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/205425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/205707:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/205911:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/210632:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/211404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/212446:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/213413:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0506/214356:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/132335:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/133550:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/133850:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/165438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/170711:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/171141:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/171356:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/171913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/172123:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/172311:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/172423:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/174402:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0509/174623:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0720/170821:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0720/173001:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0720/174957:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0720/181547:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0720/181704:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0720/182742:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0720/184835:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0720/212933:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0721/181127:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0721/181243:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0721/184038:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0721/200638:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/115812:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/154013:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/154104:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/163903:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/174708:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/175438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/175632:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/181301:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/182841:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/190000:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0804/152140:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/133532:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/145558:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/172949:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/175801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/175944:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/180520:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/181851:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/182242:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/182605:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1202/190202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/202708:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/202930:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/203353:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/203503:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/203642:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1208/204602:ERROR:file_io.cc(30)] read: expected 4, observed 0
